AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
8.5095,13.6587,4.7919,-2.1094,6.1534,0.0466,-0.2806,-0.5522,-0.2426,5.9398,1.9848,1.4289,1.3509,3.4468
1.3166,7.5601,-0.4142,-3.1359,6.5918,0.0369,-0.265,-2.9199,-1.7766,-2.3201,-2.6996,-5.7647,-4.8107,-2.3976
-0.3253,1.6537,-1.9462,-0.8869,3.774,0.0008,0.0206,-2.2489,-1.5031,-3.8419,-4.1169,-7.1359,0,-2.3817
-1.5212,-1.9724,-2.3375,0.2528,-0.9825,-0.0145,0.217,0.3348,-0.0455,-7.9738,-3.8335,-2.9843,2.8613,-0.5984
-6.473,-5.0922,-4.3961,-0.5793,-4.415,-0.0062,0.1896,1.9342,0.808,-17.1447,-4.4792,0.6124,-2.401,-1.7749
-9.2983,-6.8734,-5.8211,-1.9975,-4.5321,-0.0024,0.0984,1.7347,0.7095,-17.2403,-3.686,1.1726,-3.861,-2.8038
-4.3216,-3.6104,-2.8645,-1.9442,-2.4376,-0.0047,-0.002,1.3334,0.7127,-2.6921,0.6516,2.0095,4.2274,0.3096
3.0334,2.6541,2.4248,0.229,-0.6245,0.0015,-0.1781,1.5403,1.08,10.7382,4.7074,4.4324,10.0447,4.2312
3.9325,4.9122,3.8763,1.6904,0.6742,0.0099,-0.2197,1.2109,0.857,10.7194,4.6802,4.8311,6.1143,3.7432
-0.4572,2.64,0.5977,-0.0334,3.6788,0.008,0.1266,-0.3776,-0.3516,5.8753,2.9661,1.652,0.9175,0.293
-1.4637,2.0419,-1.1762,-1.947,7.7378,0.0003,0.4328,-1.9953,-1.5052,7.2255,2.8581,-1.2517,1.3285,-0.9447
3.5368,4.3059,2.132,-0.045,7.7925,-0.0047,0.1013,-2.0016,-1.366,11.5487,3.3313,-0.5952,3.253,1.1618
8.3254,5.2045,6.177,3.4547,2.7756,-0.0066,-0.36,-0.3775,-0.0447,13.7448,3.6229,2.2358,4.4768,3.8447
8.8236,5.6878,6.8606,4.3321,-0.0718,-0.0036,-0.0147,1.2636,1.081,17.9793,5.9036,4.514,8.8819,5.5316
8.693,10.244,6.9557,4.2859,4.0539,0.0062,0.6641,1.4842,1.0255,26.8595,9.7746,5.427,15.5539,6.7673
11.0658,15.765,9.3473,6.4605,9.1283,0.0128,0.4277,0.5142,0.2878,32.7577,10.9169,5.1375,17.8687,7.5455
11.9039,14.4075,10.1428,7.2252,8.0324,0.0094,-0.5119,-0.4127,-0.1552,27.2388,7.5861,3.6443,13.2791,6.568
6.9113,6.7826,5.3343,2.4065,3.1636,0.0073,-0.754,-0.5771,-0.1429,12.3869,2.9379,1.4602,5.7576,3.4333
0.1377,1.8866,-0.6,-2.1586,0.2066,0.0142,0.0301,0.0997,0.1197,-0.4321,0.1417,-0.223,1.0573,0.2998
-0.8943,4.0037,-0.5322,1.3132,-0.7333,0.0197,0.7401,1.214,0.6327,-2.2946,-0.63,-0.7776,1.2925,-0.3123
3.3282,7.1757,3.7148,7.2564,-1.6491,0.0171,0.5948,1.4814,0.9309,2.4163,-0.7021,-0.8298,1.3637,0.6661
4.4042,4.1793,3.8232,4.4327,-1.8956,0.0133,0.0237,0.1017,0.3476,1.822,-1.0578,-1.1994,-4.0494,-0.0274
-1.6287,-3.2882,-1.8895,-4.5521,-1.0862,0.0113,-0.2201,-1.4255,-0.569,-4.2273,-1.0639,-1.5349,-9.1856,-2.601
-8.3645,-7.3415,-6.3093,-8.181,-0.2076,0.0078,-0.0662,-1.3712,-0.6969,-2.5247,1.3306,-0.6839,-4.6534,-3.5942
-8.4211,-5.2591,-5.0539,-5.6143,1.2259,0.0027,0.053,-0.608,-0.2778,9.9772,5.8716,1.4118,5.7867,-1.3661
-3.3092,-1.9685,-1.7827,-3.8454,3.1582,-0.0046,0.0137,-0.4866,-0.2079,16.8652,7.7115,2.7939,10.3078,1.4534
-0.121,-1.8408,-0.9259,-2.4048,1.909,-0.0146,0.0958,-0.1781,-0.1988,5.0107,2.4934,1.1693,5.449,1.4298
-2.3876,-4.9261,-2.6748,1.8752,-4.2543,-0.0214,0.3141,0.9559,0.2633,-18.2795,-7.3326,-3.095,-4.4731,-2.0957
-6.7502,-9.0322,-5.2329,3.89,-9.2407,-0.0219,0.284,1.4865,0.4637,-36.8158,-14.4624,-6.017,-14.496,-6.0149
-6.4791,-9.4375,-5.8016,-0.2285,-6.4013,-0.0199,-0.0919,0.7954,-0.1027,-40.8782,-14.3978,-3.9768,-18.2151,-5.6659
0.8605,-2.3111,-1.8477,-3.3979,0.8416,-0.013,-0.3838,0.3103,-0.5014,-29.6954,-9.1713,0.7604,-12.1258,-0.6048
8.3977,7.1581,3.7935,-0.5918,3.8411,0.0049,-0.3244,0.4499,-0.1169,-10.5743,-3.5696,2.2804,-2.6851,3.5345
7.5283,8.9497,4.7592,1.6936,1.7639,0.0228,-0.2505,0.0491,0.2277,5.6698,0.611,0.1328,2.6649,2.8494
0.8001,3.1184,1.6324,0.0523,0.7176,0.0165,-0.4804,-0.5755,0.0834,15.7661,4.8435,0.2758,7.2911,1.2285
-0.994,0.0076,1.9497,1.8973,2.2392,-0.0127,-0.6099,0.1731,0.3034,25.4299,9.5118,4.6106,16.2717,3.4973
4.5027,3.7325,6.6636,8.3975,2.2938,-0.0283,-0.0488,1.6088,1.1176,35.562,12.3141,6.8696,22.9975,6.8653
7.4698,6.2172,7.1491,7.9825,0.0555,-0.0087,0.8486,1.1969,1.2519,35.618,10.9344,2.6027,17.7537,5.3798
1.6369,0.987,-0.3354,-3.198,-1.0588,0.0185,1.0258,-1.0967,0.047,17.2063,5.182,-3.5483,3.0408,-0.5132
-6.4111,-6.8684,-7.826,-12.084,-0.2706,0.018,0.2412,-2.4963,-1.2882,-11.7605,-2.9679,-5.2097,-10.9846,-5.2039
-8.7798,-9.9311,-8.3102,-9.0564,-0.5254,-0.002,-0.5911,-1.8455,-1.5456,-33.4127,-10.0671,-3.4548,-19.5203,-6.496
-7.4908,-8.707,-5.3202,-1.7514,-2.684,-0.01,-0.7766,-0.845,-1.053,-36.857,-12.4511,-2.8999,-21.8849,-6.5731
-6.9556,-6.0857,-3.9523,0.089,-3.6917,0.0021,-0.4779,-0.4245,-0.4709,-23.9398,-8.3556,-2.7892,-15.9003,-5.7168
-4.4524,-1.0626,-1.9062,-0.1002,-1.7466,0.0135,0.1014,0.5412,0.3038,-4.456,-0.5234,0.4266,-3.5794,-1.9824
2.8479,5.1516,3.2276,4.0578,0.3909,0.0053,0.8496,2.1022,1.1612,8.8056,4.3034,4.2391,5.5185,3.0008
9.4724,6.7011,6.7447,7.6215,-0.4239,-0.0119,1.078,2.3131,1.3144,8.3337,2.3021,3.1277,5.1138,4.7263
9.3149,2.4548,4.7556,3.386,-2.6196,-0.0135,0.1936,0.5837,0.5862,0.5261,-2.0172,-1.0018,0.0768,2.7934
4.8665,-1.3753,1.2427,-3.5153,-1.7984,-0.003,-1.0067,-1.1727,-0.2728,-1.3026,-1.9717,-1.5735,-1.2806,1.1758
1.8848,-0.8297,0.6466,-3.8684,3.0242,-0.0056,-1.0954,-1.6324,-0.8328,5.8716,1.9858,1.0441,2.6614,1.515
1.032,1.3369,1.0521,0.3785,7.1182,-0.0188,-0.0107,-1.365,-1.1202,11.8274,4.163,1.0636,6.6825,1.5665
-0.8008,0.7731,-0.8306,1.4195,4.751,-0.016,0.8541,-0.7845,-0.813,6.5093,1.6932,-2.0585,5.1303,-0.2718
-5.33,-3.9752,-4.4853,-1.2445,-3.7907,0.0032,0.5654,0.2155,0.1388,-9.6238,-3.8171,-4.2745,-2.9878,-3.4378
-10.6653,-9.8937,-7.404,-2.6009,-10.9904,0.0143,-0.2731,0.8024,0.7001,-27.0112,-9.4386,-4.8328,-13.748,-6.9057
-12.7004,-11.3809,-7.8186,-1.1278,-10.0771,0.0099,-0.5793,0.1482,0.0844,-34.7026,-12.2211,-5.3261,-20.7164,-9.0256
-9.8918,-7.6644,-5.9937,0.1124,-3.5647,0.0009,-0.2195,-0.8199,-0.8466,-28.7951,-10.2972,-4.958,-18.6555,-7.8623
-5.6037,-5.0962,-4.3417,-1.8816,0.146,-0.0078,0.0994,-0.8529,-0.87,-15.9403,-5.2586,-2.8082,-9.1781,-4.084
-3.0545,-6.6552,-4.1056,-6.1739,-1.4659,-0.0132,-0.061,-0.332,-0.1792,-5.3615,-0.743,-0.3898,-0.2287,-0.65
-0.633,-5.6059,-2.4538,-7.3724,-2.3819,-0.0078,-0.4007,-0.0158,0.3364,3.5724,2.6891,1.7639,4.6442,1.6598
4.5464,3.3633,3.5097,-1.1439,1.7333,0.0042,-0.4064,0.357,0.518,17.4801,7.0862,4.8277,9.3132,4.5107
10.806,13.4217,10.533,8.2323,6.6654,0.0086,-0.0197,0.7842,0.5731,30.9737,10.6084,6.9957,13.1547,7.1109
12.758,13.8712,11.6226,10.8093,5.8813,0.0047,0.3404,0.4762,0.4053,27.8573,8.1674,4.547,8.5659,6.0062
7.6974,4.4236,5.3334,4.5429,-0.5279,0.0033,0.3691,-0.3909,0.0865,6.0341,0.1359,-1.2388,-4.5593,0.8334
-0.9713,-6.0999,-2.303,-1.4896,-6.6644,0.0006,0.2116,-0.6865,-0.0698,-16.2792,-7.0607,-5.2942,-15.0168,-4.4538
-7.8318,-12.1624,-6.684,-2.0823,-8.3838,-0.0142,0.0877,-0.5181,-0.2315,-25.4749,-9.9451,-6.671,-15.3675,-6.9447
-11.4484,-15.281,-9.592,-3.579,-6.5658,-0.0302,-0.0205,-1.0461,-0.8055,-26.4544,-10.3286,-7.9063,-10.7355,-7.5322
-14.3649,-17.3457,-13.1497,-10.0799,-4.2036,-0.0251,-0.1131,-2.1335,-1.5073,-27.9499,-9.7224,-8.5981,-10.35,-8.3323
-17.581,-17.4906,-15.0428,-14.2183,-3.5819,-0.0018,-0.0655,-2.3805,-1.5971,-29.8804,-8.2542,-6.9128,-15.9263,-9.8042
-16.7882,-14.7246,-11.907,-9.1301,-5.0088,0.0086,0.0595,-1.2279,-0.8499,-26.9153,-6.6436,-3.8819,-19.1916,-9.5824
-6.9082,-8.4339,-3.4326,0.7393,-5.6953,-0.009,0.0827,0.5272,0.2873,-14.079,-3.9138,-0.3538,-11.6767,-4.3667
8.1512,1.2708,6.5124,6.3857,-2.3856,-0.0252,0.1393,1.7445,1.1679,7.9569,2.5047,4.682,2.4739,4.3705
15.87,10.3851,11.4758,5.3912,2.9177,-0.0061,0.4183,1.7777,1.3663,26.9837,10.026,8.7314,10.3237,9.2752
10.8275,13.2034,8.8378,3.2698,4.4828,0.03,0.5387,0.9755,0.9431,26.9474,10.4254,6.5776,7.7206,6.2636
2.9637,9.7995,3.7932,4.9142,2.1709,0.0328,0.0241,0.0928,0.1505,7.4129,1.1471,-0.8099,2.0515,0.534
2.0381,4.7516,1.5716,6.7673,1.9856,-0.0037,-0.7107,-1.1127,-1.0628,-13.7411,-9.2694,-6.7144,-2.5889,-1.9527
2.8446,-1.355,-0.3476,2.6074,4.1895,-0.0337,-0.7959,-3.0425,-2.4293,-22.7487,-12.5906,-8.7618,-9.803,-3.2603
-3.3594,-10.061,-5.5484,-4.7632,1.0136,-0.0281,-0.1857,-4.0011,-2.6495,-25.0554,-11.0771,-9.459,-19.789,-7.2238
-12.419,-16.8329,-10.612,-7.6846,-8.5438,-0.0039,0.3489,-1.9898,-0.9815,-30.4026,-10.4245,-8.4577,-25.0075,-10.6851
-14.9968,-16.1745,-11.2472,-6.6069,-13.9585,0.01,0.3008,1.198,0.9378,-34.6805,-10.1847,-4.4619,-19.8104,-8.9884
-11.9254,-11.5467,-9.2726,-6.4196,-10.11,0.0061,-0.1185,1.9349,1.1138,-28.8737,-7.7199,-1.1781,-8.9295,-4.8135
-9.3221,-8.7802,-6.9485,-5.0224,-5.1766,-0.0025,-0.4118,0.5706,0.31,-14.4372,-3.7824,-1.254,-1.7017,-3.1179
-6.454,-5.6707,-2.3262,1.1719,-4.6734,-0.0021,-0.3416,0.3026,0.4753,3.4398,1.281,-0.2581,1.217,-2.223
-0.0874,1.0662,4.3359,6.9947,-2.9203,0.0032,-0.062,1.1026,1.1966,23.9075,8.4573,4.178,7.0111,1.5531
5.8113,6.3662,7.3886,5.726,2.8523,0.0031,0.1924,0.2815,0.7235,38.728,13.6649,5.6935,14.0784,5.0123
4.7901,3.8337,3.523,-0.1749,5.1269,0.0012,0.293,-2.0111,-0.7205,29.6951,9.3724,-0.1691,9.2274,2.3109
-1.8956,-4.5187,-3.3307,-4.1714,-0.5403,0.0041,0.0969,-3.0498,-1.5179,-6.7645,-4.3766,-7.6944,-11.5656,-5.1896
-7.0137,-11.5783,-7.5652,-4.9452,-7.1127,0.0018,-0.3392,-2.1995,-1.4046,-46.0577,-17.631,-9.8335,-32.3831,-10.3678
-7.0412,-13.4521,-8.0262,-4.655,-7.1209,-0.0152,-0.5304,-1.2246,-1.3014,-60.3401,-21.628,-7.6887,-35.8899,-9.8039
-5.0558,-11.4965,-6.9618,-3.4761,-3.5833,-0.0332,-0.1714,-0.9184,-1.3071,-48.0927,-17.5101,-6.514,-23.4325,-6.6678
-4.2848,-8.4333,-5.6929,-0.6978,-3.4946,-0.032,0.3468,-0.3928,-0.7097,-28.0039,-11.6166,-7.1795,-9.0353,-4.5597
-3.1147,-4.2956,-3.233,2.032,-5.4634,-0.0135,0.4945,0.7195,0.4043,-11.1071,-5.9361,-5.557,0.1302,-2.5097
0.6739,2.1379,1.0391,2.6471,-2.1704,0.0039,0.2121,1.3223,0.9185,5.6807,1.4974,0.3954,7.0303,1.4942
3.8721,7.729,4.6941,2.082,6.0944,0.0093,-0.1601,0.4389,0.1973,20.4907,8.5491,6.15,10.7559,4.6562
1.7022,5.8092,4.0963,1.547,9.9561,0.0037,-0.1929,-1.3485,-1.0227,21.7577,9.479,5.9481,4.3614,2.4256
-3.8221,-3.9004,-0.7163,-1.1129,4.9952,-0.0063,0.0997,-2.7449,-1.643,8.9863,4.3226,0.519,-8.8879,-3.3749
-6.4461,-12.0094,-5.1425,-5.8894,-1.8837,-0.013,0.0894,-3.1662,-1.4955,-2.1366,-0.5985,-4.4463,-13.9337,-6.2151
-5.6479,-11.6719,-5.6587,-6.2791,-3.7273,-0.0166,-0.4104,-2.5528,-1.0866,-4.3298,-2.5775,-5.7691,-6.4809,-4.6838
-5.9367,-7.7763,-4.2378,-0.1783,-2.7707,-0.0225,-0.5397,-0.9949,-0.6191,-7.5906,-4.3765,-4.7237,-0.1188,-3.3091
-7.1924,-7.1737,-4.2941,2.9116,-3.7193,-0.0245,0.1589,0.6643,0.0015,-15.9186,-6.1595,-2.9841,-3.5247,-3.694
-5.3337,-7.5045,-4.994,-2.7546,-5.4932,-0.008,0.7512,1.2075,0.5377,-19.8453,-5.3775,-1.0623,-9.7543,-3.2344
-2.2373,-4.6304,-4.3059,-8.2025,-5.2647,0.022,0.4461,0.4002,0.4426,-19.5538,-4.6226,-0.7026,-14.7406,-2.8465
-4.1771,-2.8786,-4.0665,-5.4668,-4.2546,0.0373,-0.1607,-0.9897,-0.4404,-26.7509,-8.6756,-3.8116,-23.4109,-6.3042
-9.4462,-7.0393,-5.6882,-0.0221,-4.453,0.0182,-0.3248,-1.9349,-1.3453,-36.3267,-13.7078,-7.5466,-30.3652,-10.7491
-8.894,-11.5453,-5.5635,1.3562,-5.038,-0.0205,-0.2936,-1.4627,-1.1143,-28.2099,-11.2281,-6.4423,-20.4565,-8.422
-1.0523,-8.7781,-1.6306,0.2738,-5.1271,-0.0404,-0.4249,0.3822,0.3472,-3.0404,-2.1854,-1.1851,3.9716,0.3169
4.8121,-1.8123,1.5305,-1.0479,-4.9652,-0.0246,-0.3797,1.947,1.6885,17.16,5.0792,2.0825,22.1791,6.5263
3.6381,1.2227,0.5273,-3.4654,-3.6402,-0.0006,0.101,1.7456,1.722,23.8011,8.0195,1.5265,24.4639,6.2122
0.9573,-0.3332,-0.8899,-4.5907,-0.6406,0.0013,0.4856,0.0948,0.6416,23.945,8.5295,0.0967,16.9761,3.2346
1.5673,-1.3273,1.019,-0.7028,1.5715,-0.0069,0.1648,-1.8109,-0.6865,15.662,4.5334,-1.5669,1.7758,-0.1994
2.9357,0.3104,3.6506,4.6947,1.3706,0.0028,-0.5657,-3.0158,-1.6301,-5.4713,-4.5104,-3.9174,-19.6959,-4.4897
2.0235,2.6078,2.9539,4.7101,1.3254,0.0225,-0.791,-2.789,-1.8457,-26.4496,-11.4533,-4.5999,-32.1234,-6.8499
-0.6196,2.8347,-0.7552,0.467,2.7168,0.0206,-0.1588,-1.1549,-1.3275,-31.8251,-11.2453,-2.9331,-23.6487,-5.0041
-4.2296,-1.1082,-4.6534,-1.412,1.4739,-0.0048,0.6727,0.6416,-0.4729,-26.6003,-8.4607,-2.3741,-7.6868,-2.7706
-8.2734,-7.5757,-7.1085,-0.6797,-4.0298,-0.0205,0.8944,1.3224,0.2075,-23.7868,-7.941,-3.886,-3.8682,-3.9406
-10.2905,-10.1636,-7.6399,-2.4176,-7.2327,-0.0056,0.4942,0.8652,0.3716,-22.7255,-7.1045,-3.6513,-9.7365,-5.7266
-8.3913,-5.9825,-6.1239,-6.2231,-3.6176,0.0199,0.0546,0.1265,0.075,-16.3465,-3.2653,-0.4268,-11.1105,-4.4037
-4.3371,-1.1424,-3.3425,-6.1047,0.672,0.0233,-0.0799,-0.2348,-0.1873,-7.1574,0.0312,1.5275,-6.1932,-1.7326
-0.5668,-0.7741,-0.3764,-0.3037,-0.1317,-0.0005,-0.0089,-0.1916,-0.103,-0.7284,-0.2253,-0.2798,-1.2344,-0.503
1.3437,1.3868,0.6718,0.3825,-0.1246,0.0066,-0.0977,-0.3813,-0.1618,-2.2847,-1.5785,-1.3781,-2.7165,-0.5065
-4.323,-2.0975,-3.9579,-3.4929,-0.6767,0.0196,0.0143,-2.5275,-1.1349,-1.2423,-2.476,-7.6998,-5.1863,-4.99
-5.1763,-4.1079,-5.6406,-6.0634,3.1128,0.0075,0.0579,-4.0053,-2.3085,-5.792,-3.8988,-9.0478,-8.8743,-6.2247
-2.0199,-2.9243,-3.9076,-5.5385,7.3242,-0.0106,0.0374,-3.8984,-2.7572,-11.2357,-4.809,-6.0242,-10.9067,-4.3605
-1.6803,-1.2369,-2.8885,-4.0703,4.8181,0.0011,-0.0385,-2.5056,-1.8915,-14.9204,-5.4501,-3.9744,-12.1825,-3.7379
-7.1222,-2.9252,-5.4988,-4.6369,-3.6168,0.0358,-0.1392,-1.0971,-0.5142,-20.3001,-7.0995,-5.3236,-15.7507,-6.55
-11.9414,-5.8254,-8.0045,-4.5993,-9.181,0.0484,-0.1565,-0.1303,0.3075,-24.8274,-8.5406,-6.4109,-17.1884,-8.674
-11.3219,-6.6484,-7.2648,-1.9936,-6.6049,0.0202,-0.0702,0.2588,0.1224,-23.6757,-8.0405,-4.7608,-12.2389,-7.0336
-8.7097,-6.9547,-6.0794,-1.2143,-0.409,-0.0162,-0.0529,-0.345,-0.7709,-19.6658,-6.4958,-2.9311,-6.1779,-4.4502
-5.1759,-6.4618,-4.7558,-3.2273,2.2164,-0.0273,-0.1494,-0.8542,-1.0543,-12.5931,-3.8033,-1.483,-1.8125,-1.9949
4.1368,-0.6102,1.4529,-1.813,0.4936,-0.018,-0.0913,0.5765,0.3545,4.8826,2.3437,2.8892,6.3115,3.6807
16.6365,9.0188,10.7798,3.5854,-1.0485,-0.006,0.1735,2.6791,2.1669,26.1844,9.3676,8.3769,15.221,10.6349
19.7531,13.0608,13.3664,5.4591,-0.4127,0.0089,0.1635,2.19,2.0491,29.0304,9.427,7.5684,11.9789,10.5195
8.8107,7.788,6.2248,2.299,-0.3503,0.0275,-0.3548,-0.5348,0.2523,8.7974,1.3137,-0.1293,-3.0762,1.871
-3.6305,0.9431,-1.0893,0.9696,-1.7199,0.0338,-0.7775,-1.9069,-0.8565,-9.7132,-5.4552,-5.5091,-13.0093,-5.5704
-3.8853,0.8931,-0.2189,3.9741,-0.2087,0.0167,-0.4761,-1.0313,-0.6486,-6.8226,-3.7231,-2.961,-9.1368,-4.2542
4.2926,6.1091,4.572,6.0303,5.4285,-0.0055,0.2899,-0.235,-0.4898,6.161,1.5994,1.6002,-0.0187,1.3983
6.5034,8.4528,4.0923,3.4618,8.2138,-0.0067,0.7058,-0.3874,-0.7113,8.3966,2.3081,0.7442,5.5,3.0551
-0.6537,3.7871,-1.8698,-1.1715,3.7747,0.0065,0.3233,-0.5277,-0.5912,-0.3603,-1.2297,-3.5721,6.7616,-0.0078
-6.8064,-4.1471,-5.9252,-4.414,-1.4137,0.0044,-0.4419,-0.9587,-0.5375,-6.5862,-3.3432,-5.2192,3.4566,-2.9101
-5.3339,-9.1674,-5.1563,-6.0609,-1.6188,-0.0134,-0.729,-2.1581,-1.1108,-7.0961,-3.0145,-4.0363,-4.6424,-3.5424
-0.7231,-8.502,-2.8082,-5.8309,-1.556,-0.0179,-0.3449,-2.2314,-1.0974,-7.9608,-3.1541,-3.153,-10.3022,-2.784
0.8972,-4.3481,-1.0117,-1.9627,-5.1174,-0.0057,0.0095,0.1961,0.4013,-7.9362,-3.2693,-1.7553,-5.2286,-0.8684
-1.5332,-1.6629,-0.2568,2.7842,-6.4673,-0.0027,-0.0061,2.5157,1.6425,-1.9505,-0.6103,1.4179,5.6748,1.1514
-4.6271,-2.0856,-1.3864,2.0712,-1.4988,-0.0099,0.1246,1.768,0.8946,4.7456,2.9904,3.0619,8.7926,0.9959
-3.1006,-1.2051,-2.2266,-2.5106,3.7361,-0.0044,0.566,-0.4558,-0.5421,3.2566,2.796,1.0239,1.246,-0.5107
3.8671,3.6719,0.7455,-2.6027,3.5192,0.0111,0.7022,-0.8235,-0.6033,-2.8275,-0.6438,-0.9191,-5.925,-0.0112
9.4575,7.7823,5.2065,1.7447,1.1517,0.0153,0.3045,0.2743,0.232,-2.0614,-1.5693,0.4091,-5.0421,2.3333
8.3019,7.1516,6.2303,3.2339,1.7263,0.0109,-0.1204,0.1682,0.296,8.6628,2.4525,2.5675,-0.2223,3.1602
4.2013,5.3941,5.1414,2.5261,3.9265,0.0126,-0.2546,-1.0055,-0.2526,21.828,7.617,3.0789,3.0394,2.0638
2.7018,5.9613,5.6559,5.034,3.3528,0.017,-0.2068,-0.8172,-0.0512,27.0663,9.2583,3.2632,4.4098,1.5424
2.4215,5.7116,5.3453,6.8867,-0.2648,0.0167,-0.061,0.7467,0.7829,17.5078,5.8394,3.2628,3.2968,1.5396
-0.3689,1.3646,0.2477,1.1209,-2.9769,0.0142,0.0678,1.0855,0.7771,-2.4636,-0.7619,0.3209,-0.6677,-0.1098
-4.4327,-4.6604,-6.5627,-7.6724,-2.6968,0.0058,-0.037,-0.4477,-0.2936,-16.9593,-6.1639,-5.1017,-1.9488,-2.564
-6.1513,-8.1323,-8.9024,-9.4472,-1.8133,-0.0123,-0.3118,-1.5052,-0.9932,-17.2531,-7.4156,-8.0311,2.3131,-3.1331
-5.626,-8.4359,-6.5254,-4.6899,-2.5688,-0.0235,-0.4146,-0.872,-0.66,-14.1919,-6.3444,-5.7762,1.836,-2.6378
-5.8671,-8.5236,-4.5442,-2.697,-3.556,-0.0138,-0.2335,-0.0779,-0.2515,-19.4482,-5.8448,-1.0875,-10.7179,-3.6698
-7.5367,-10.3433,-5.6444,-6.1342,-3.2908,-0.0036,-0.0854,-0.1794,-0.3739,-26.2221,-5.7787,1.5357,-20.7658,-5.0353
-7.7923,-11.2526,-6.7792,-7.0054,-3.4469,-0.0135,-0.3287,-0.2432,-0.3997,-23.9426,-6.0014,-0.1111,-12.8826,-4.0533
-4.4131,-7.4023,-4.1515,-0.1417,-5.4407,-0.0247,-0.7506,0.5709,0.169,-18.4098,-7.9773,-3.6464,0.4732,-1.82
1.0241,0.2239,0.8475,7.1639,-6.9225,-0.0102,-0.6096,1.9613,1.0316,-18.7964,-9.815,-3.6265,0.1733,-0.3675
5.3365,7.4888,4.044,6.028,-4.1446,0.021,0.2352,2.9814,1.6004,-15.7854,-5.916,1.616,-5.4309,1.5887
8.1366,13.1497,5.9137,0.8801,3.8216,0.0388,0.7873,2.3095,1.2587,7.0909,5.2169,7.3823,1.9619,5.2998
11.1833,17.7961,10.1168,2.2735,13.3019,0.0303,0.3394,-0.2119,-0.0199,44.4424,17.5639,9.6073,17.9031,8.7808
12.8533,18.6911,14.0715,8.3016,17.5023,0.0099,-0.3227,-2.3356,-1.0678,68.1621,23.3042,8.7635,26.0445,9.4905
8.6374,12.0281,10.5083,7.9724,12.1028,-0.002,-0.0812,-2.0466,-0.8099,58.2227,19.145,5.3508,22.2346,6.575
-0.1541,0.3145,0.6462,1.3485,0.7469,-0.0046,0.8802,-0.298,0.2155,24.9889,8.2326,-0.5851,11.6248,1.1193
-5.7159,-8.2574,-5.4763,-1.2887,-7.3479,-0.0112,1.3671,0.5942,0.6364,-4.2619,-2.1733,-5.5522,-1.196,-3.7587
-5.6726,-9.6672,-4.6826,0.4973,-6.4334,-0.0178,0.6848,-0.5109,-0.2351,-16.0193,-6.8981,-6.2527,-12.3536,-5.9515
-6.1485,-8.039,-4.1977,-2.2187,-0.1528,-0.0084,-0.5504,-2.7269,-1.7826,-18.9243,-7.2318,-4.7843,-18.6632,-6.7888
-9.2498,-7.2719,-6.9562,-8.0067,2.4264,0.0101,-1.1415,-3.1725,-2.1786,-22.9584,-7.0572,-3.6434,-17.6703,-6.876
-8.7926,-5.3991,-6.9089,-6.7857,-2.0802,0.0149,-0.7158,0.0353,-0.2847,-24.5981,-6.6695,-0.8719,-8.7596,-3.8598
-2.0298,-1.1987,-1.82,-0.0204,-6.5835,0.0024,0.0234,3.9304,2.0532,-18.7454,-4.4605,3.9458,1.5343,1.7774
5.2131,1.2633,2.2519,1.6161,-4.3126,-0.0154,0.3804,4.0493,2.0958,-11.1558,-2.0718,5.9742,4.3355,5.1977
8.1511,0.5217,2.4212,-1.263,0.478,-0.0294,0.3264,1.5082,0.5648,-7.2818,-1.862,3.196,2.7305,4.9147
8.9373,2.8886,3.645,1.3553,1.1055,-0.0259,0.114,0.8689,0.3394,0.007,-1.1916,0.8663,7.0577,4.8583
10.1508,11.4336,8.262,8.6515,0.7045,0.0046,-0.0863,2.0111,1.3393,16.9496,3.7949,2.7634,14.949,6.4492
9.6208,16.0581,10.4366,9.4095,4.2937,0.0312,-0.1124,1.2253,1.0839,32.2816,10.2376,5.3839,14.7886,6.3653
5.7219,6.9772,6.0013,1.7334,7.1145,0.0084,0.1305,-1.1312,-0.394,31.0382,11.6442,4.8902,7.6621,3.8198
1.7062,-6.4977,-0.0598,-4.0372,3.6668,-0.0404,0.4102,-1.5935,-0.8464,17.279,7.2847,2.3127,4.7247,1.9351
-0.0832,-7.0508,-1.6774,-2.1351,-0.6344,-0.0391,0.3242,-0.3928,-0.1861,6.3598,2.1283,-0.4831,6.1184,1.0402
-2.0455,3.722,-0.2863,2.437,1.106,0.0163,-0.1096,-0.3175,-0.1964,3.016,-0.3467,-2.6726,3.7628,-1.1338
-5.316,7.7876,-0.1649,4.334,4.7129,0.0405,-0.3884,-1.0122,-0.8398,1.1862,-0.5459,-2.3779,-1.2836,-3.3661
-7.337,-1.4003,-1.8815,3.3187,2.4605,-0.0003,-0.2404,-0.3988,-0.6705,-3.9756,-0.6654,0.5003,-3.8133,-3.2573
-7.0951,-10.844,-3.9398,0.1654,-3.602,-0.0342,0.0322,0.7219,0.1035,-12.7116,-2.6902,1.6476,-6.489,-2.6723
-5.2536,-8.6618,-5.0197,-3.9181,-5.3263,-0.0092,0.0985,0.3623,0.1333,-20.584,-6.1215,-1.5875,-10.938,-3.5408
